news_type,true,fav,important,anger,anxiety,funny,informative,familiar,demrep_c,concordant,age,gender,education,income,social_conserv,economic_conserv,Y,Ethnicity_1,Ethnicity_2,Ethnicity_3,Ethnicity_4,Ethnicity_5,Ethnicity_6
0,1,6,4,5,3,1,3,1,3,1,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
0,5,1,5,1,1,1,2,3,3,6,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
2,3,6,6,4,4,1,2,1,3,1,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
2,1,4,5,1,1,1,2,1,3,3,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
2,4,6,5,4,3,1,1,1,3,1,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
2,1,4,1,1,1,1,1,1,3,3,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
2,5,6,6,6,5,1,1,1,3,1,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
2,4,2,2,4,1,1,2,1,3,5,38.0,0.0,0.0,0.0,2,1,0,1,0,0,0,0,0
1,1,6,6,1,1,6,1,1,2,1,68.0,1.0,0.0,0.0,2,2,0,1,0,0,0,0,0
1,1,4,3,1,1,1,2,1,2,3,68.0,1.0,0.0,0.0,2,2,0,1,0,0,0,0,0
1,2,3,1,1,1,6,3,1,2,4,68.0,1.0,0.0,0.0,2,2,1,1,0,0,0,0,0
1,1,4,5,4,1,1,1,1,2,3,68.0,1.0,0.0,0.0,2,2,0,1,0,0,0,0,0
1,1,3,1,1,1,3,1,1,2,4,68.0,1.0,0.0,0.0,2,2,1,1,0,0,0,0,0
1,1,1,6,4,1,6,4,1,2,6,68.0,1.0,0.0,0.0,2,2,1,1,0,0,0,0,0
1,1,1,6,5,3,6,5,1,2,6,68.0,1.0,0.0,0.0,2,2,1,1,0,0,0,0,0
0,2,2,5,4,1,1,3,2,2,5,68.0,1.0,0.0,0.0,2,2,1,1,0,0,0,0,0
0,4,2,5,1,1,1,1,1,2,5,68.0,1.0,0.0,0.0,2,2,0,1,0,0,0,0,0
0,5,1,5,5,3,1,4,1,2,6,68.0,1.0,0.0,0.0,2,2,1,1,0,0,0,0,0
0,1,3,3,2,1,1,1,1,2,4,68.0,1.0,0.0,0.0,2,2,0,1,0,0,0,0,0
0,5,6,6,5,1,1,2,1,2,1,68.0,1.0,0.0,0.0,2,2,1,1,0,0,0,0,0
2,4,2,5,3,2,1,3,1,2,5,68.0,1.0,0.0,0.0,2,2,0,1,0,0,0,0,0
2,5,5,4,1,1,1,3,1,2,2,68.0,1.0,0.0,0.0,2,2,0,1,0,0,0,0,0
2,4,2,3,2,1,1,2,1,2,5,68.0,1.0,0.0,0.0,2,2,0,1,0,0,0,0,0
2,5,5,5,3,1,2,3,1,2,2,68.0,1.0,0.0,0.0,2,2,0,1,0,0,0,0,0
2,2,5,4,2,1,3,2,1,2,2,68.0,1.0,0.0,0.0,2,2,0,1,0,0,0,0,0
2,4,4,1,1,1,1,4,1,2,3,68.0,1.0,0.0,0.0,2,2,0,1,0,0,0,0,0
1,1,6,6,1,1,1,1,1,3,1,58.0,1.0,0.0,0.0,3,3,0,1,0,0,0,0,0
1,6,6,6,6,6,1,5,3,3,1,58.0,1.0,0.0,0.0,3,3,1,1,0,0,0,0,0
1,1,6,6,1,1,1,1,1,3,1,58.0,1.0,0.0,0.0,3,3,0,1,0,0,0,0,0
1,1,6,4,6,1,1,1,1,3,1,58.0,1.0,0.0,0.0,3,3,0,1,0,0,0,0,0
0,1,6,6,1,1,1,2,1,3,1,58.0,1.0,0.0,0.0,3,3,1,1,0,0,0,0,0
0,2,6,1,1,1,1,1,1,3,1,58.0,1.0,0.0,0.0,3,3,0,1,0,0,0,0,0
0,6,6,6,1,1,1,6,1,3,1,58.0,1.0,0.0,0.0,3,3,1,1,0,0,0,0,0
0,1,4,1,1,1,1,1,1,3,3,58.0,1.0,0.0,0.0,3,3,0,1,0,0,0,0,0
0,6,6,6,6,6,1,6,1,3,1,58.0,1.0,0.0,0.0,3,3,1,1,0,0,0,0,0
0,1,6,1,1,1,1,1,1,3,1,58.0,1.0,0.0,0.0,3,3,0,1,0,0,0,0,0
0,1,3,1,1,1,1,1,1,3,4,58.0,1.0,0.0,0.0,3,3,0,1,0,0,0,0,0
2,4,6,6,6,1,1,2,1,3,1,58.0,1.0,0.0,0.0,3,3,1,1,0,0,0,0,0
2,6,6,6,1,1,6,6,1,3,1,58.0,1.0,0.0,0.0,3,3,1,1,0,0,0,0,0
2,4,6,6,6,3,1,3,3,3,1,58.0,1.0,0.0,0.0,3,3,1,1,0,0,0,0,0
2,6,6,6,1,1,1,6,1,3,1,58.0,1.0,0.0,0.0,3,3,1,1,0,0,0,0,0
2,6,6,6,6,6,1,1,1,3,1,58.0,1.0,0.0,0.0,3,3,1,1,0,0,0,0,0
2,1,6,1,1,1,1,1,1,3,1,58.0,1.0,0.0,0.0,3,3,0,1,0,0,0,0,0
2,1,6,1,1,1,1,1,1,3,1,58.0,1.0,0.0,0.0,3,3,0,1,0,0,0,0,0
1,4,4,4,4,3,3,5,3,5,4,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
1,3,4,3,3,3,3,3,4,5,4,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
1,3,3,4,3,3,3,4,4,5,3,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
1,3,4,3,3,3,3,4,4,5,4,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
0,3,3,4,3,4,4,3,4,5,3,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
0,4,4,3,4,3,3,4,3,5,4,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
0,4,3,4,4,4,3,3,3,5,3,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
0,3,3,4,4,4,3,3,3,5,3,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
0,3,3,4,3,4,4,3,3,5,3,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
2,3,4,3,3,3,4,3,3,5,4,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
2,3,4,3,3,3,3,4,4,5,4,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
2,4,3,3,4,3,3,4,3,5,3,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
2,3,4,4,4,3,3,4,4,5,4,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
2,3,4,3,4,3,3,3,3,5,4,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
2,3,4,3,4,3,3,4,3,5,4,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
2,3,4,4,4,3,3,4,3,5,4,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
2,3,4,3,3,3,4,3,3,5,4,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
2,3,4,3,4,3,3,3,3,5,4,45.0,1.0,1.0,1.0,5,5,1,1,0,0,0,0,0
1,2,2,1,1,1,6,1,1,1,5,28.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0
1,1,6,6,1,6,1,1,1,1,1,28.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0
1,5,2,4,5,4,1,1,3,1,5,28.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0
1,4,6,6,6,5,1,3,1,1,1,28.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0
1,4,2,6,3,2,1,3,2,1,5,28.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0
1,2,3,2,1,1,1,1,1,1,4,28.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0
0,4,5,2,6,5,4,1,1,1,2,28.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0
0,2,5,3,1,1,1,1,1,1,2,28.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0
0,3,1,4,5,3,1,1,1,1,6,28.0,1.0,1.0,1.0,1,1,0,1,0,0,0,0,0
0,4,6,4,6,5,1,4,1,1,1,28.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0
0,6,6,6,5,4,1,4,1,1,1,28.0,1.0,1.0,1.0,1,1,1,1,0,0,0,0,0
